path	text	graphemes
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R001.wav	KHÁCH SẠN	kh á ch | s ạ n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R002.wav	CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP	ch ỉ | b ằ ng | c á ch | l uô n | n ỗ | l ự c | th ì | c uối | c ù ng | b ạ n | m ới | đ ượ c | đ ề n | đ á p
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R003.wav	TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN	tr o ng | s ố | c á c | qu ố c | gi a | c ô ng | ngh iệ p | ph á t | tr iể n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R004.wav	ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU	a nh | đ ã | nh ì n | th ấy | tr o ng | nh ữ ng | l ải | nh ải | d ô ng | d ài | c ủa | nh u
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R005.wav	KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN	kh ủ ng | h ỏa ng | m ôi | tr ườ ng | c ầ n | đ ượ c | ng ă n | ch ặ n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R006.wav	TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO	tr ô ng | th ấy | t àu | c á | đ ằ ng | x a | a nh | đ ã | ấ n | c òi | c ả nh | b áo
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R007.wav	MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC	m ấy | s ào | r uộ ng | c ủa | gi a | đ ì nh | ô ng | đ à nh | b ỏ | h oa ng | ch o | c ỏ | m ọ c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R008.wav	CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT	c ó | đ ê m | g ặ p | ph ải | h eo | n ọ c | n ó | r ượ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R009.wav	CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU	c á c | b à n | h ọ c | nh ỏ | h ằ ng | ng ày | n ay | tr ở | th à nh | b à n | th ờ | c ủa | c á c | ch áu
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R010.wav	CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE	ch a | m ẹ | t ôi | th ườ ng | ch ì | ch iế t | nh au | b ằ ng | nh ữ ng | l ời | l ẽ | kh ó | ngh e
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R011.wav	HẤP DẪN NHẤT LÀ CUỘC THI BƠI THUYỀN TRUYỀN THỐNG	h ấ p | d ẫ n | nh ấ t | l à | c uộ c | th i | b ơi | th uyề n | tr uyề n | th ố ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R012.wav	VỚI NHỮNG CỜ LÍP NHẠC TRUYỀN HÌNH	v ới | nh ữ ng | c ờ | l í p | nh ạ c | tr uyề n | h ì nh
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R013.wav	MỘT TRONG NHỮNG CÁCH TỐT NHẤT	m ộ t | tr o ng | nh ữ ng | c á ch | t ố t | nh ấ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R014.wav	ĂN CẮP PHỖNG TƯỢNG	ă n | c ắ p | ph ỗ ng | t ượ ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R015.wav	TỚI VỖ VAI HỎI VỀ CHIẾC ÁO MỚI MUA	t ới | v ỗ | v ai | h ỏi | v ề | ch iế c | áo | m ới | m ua
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R016.wav	BÀO CHẾ NHỮNG LOẠI THUỐC CHỮA NGHIỆN MA TÚY	b ào | ch ế | nh ữ ng | l oại | th uố c | ch ữa | ngh iệ n | m a | t úy
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R017.wav	NHỮNG MÁI NGÓI ÂM DƯƠNG CỔ KÍNH	nh ữ ng | m ái | ng ói | â m | d ươ ng | c ổ | k í nh
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R018.wav	MẶT MŨI NÓ CÒN CÀU CẠU	m ặ t | m ũi | n ó | c ò n | c àu | c ạu
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R019.wav	NẮNG ĐÀO LÀM ỬNG HỒNG NHỮNG ĐÔI MÁ THIẾU NỮ HÀ THÀNH	n ắ ng | đ ào | l à m | ử ng | h ồ ng | nh ữ ng | đ ôi | m á | th iếu | n ữ | h à | th à nh
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R020.wav	CHIẾC Ổ THƯỜNG XUYÊN ĐƯỢC KHÓA CHẶT VÀO BÀN	ch iế c | ổ | th ườ ng | x uyê n | đ ượ c | kh óa | ch ặ t | v ào | b à n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R021.wav	LÀM TÓC KIỂU NÀY TRÔNG BẠN QUÝ PHÁI MỘT CÁCH TỰ NHIÊN	l à m | t ó c | k iểu | n ày | tr ô ng | b ạ n | qu ý | ph ái | m ộ t | c á ch | t ự | nh iê n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R022.wav	ĐỒNG NGHIỆP TÂY BẢO NHẠC CỦA TÔI CHỈ THOÁNG NGHE	đ ồ ng | ngh iệ p | t ây | b ảo | nh ạ c | c ủa | t ôi | ch ỉ | th óa ng | ngh e
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R023.wav	ĐÂU LÀ TÌNH YÊU ĐÍCH THỰC	đ âu | l à | t ì nh | yêu | đ í ch | th ự c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R024.wav	CŨNG SẼ GẶP KHÓ KHĂN VÌ KHÔNG CÓ HÌNH ẢNH ĐỂ ĐỐI CHIẾU	c ũ ng | s ẽ | g ặ p | kh ó | kh ă n | v ì | kh ô ng | c ó | h ì nh | ả nh | đ ể | đ ối | ch iếu
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R025.wav	TAY CẦM MỘT CỌC TIỀN ĐẾM XOÈN XOẸT ĐƯA CHO CHA MẸ CÔ DÂU	t ay | c ầ m | m ộ t | c ọ c | t iề n | đ ế m | x òe n | x ọe t | đ ưa | ch o | ch a | m ẹ | c ô | d âu
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R026.wav	TRONG NIỀM PHẤN KHỞI CỦA BÀ CON NGƯ DÂN	tr o ng | n iề m | ph ấ n | kh ởi | c ủa | b à | c o n | ng ư | d â n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R027.wav	BẮT ĐẦU LỌC CỌC TIẾNG DÙI ĐỤC CỦA THỢ MỘC	b ắ t | đ ầu | l ọ c | c ọ c | t iế ng | d ùi | đ ụ c | c ủa | th ợ | m ộ c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R028.wav	VIỆC THIẾT LẬP TỐC ĐỘ NHÁY CHUỘT	v iệ c | th iế t | l ậ p | t ố c | đ ộ | nh áy | ch uộ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R029.wav	KẾT LUẬN TRÊN ĐÃ CHO THẤY	k ế t | l uậ n | tr ê n | đ ã | ch o | th ấy
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R030.wav	LẶN NGỤP VEN HỒ TÂY ĐỂ KIẾM SỐNG	l ặ n | ng ụ p | v e n | h ồ | t ây | đ ể | k iế m | s ố ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R031.wav	CHÚNG TÔI CỨ LEN LÉN NHÌN VÀ CHẲNG THẤY NGƯỢNG NGẬP	ch ú ng | t ôi | c ứ | l e n | l é n | nh ì n | v à | ch ẳ ng | th ấy | ng ượ ng | ng ậ p
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R032.wav	CỦA NGƯỜI MẸ ĐANG PHẢI CẦM HƠI BẰNG LÁ CÂY	c ủa | ng ười | m ẹ | đ a ng | ph ải | c ầ m | h ơi | b ằ ng | l á | c ây
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R033.wav	HUN ĐÚC NÊN TINH THẦN THI ĐẤU QUẢ CẢM VỚI ĐỒNG THÁP	h u n | đ ú c | n ê n | t i nh | th ầ n | th i | đ ấu | qu ả | c ả m | v ới | đ ồ ng | th á p
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R034.wav	KHÔNG DÈ LẦN LÊN COI THỬ	kh ô ng | d è | l ầ n | l ê n | c oi | th ử
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R035.wav	NÊN VIỆC PHÁ RỪNG ĐỐT THAN NGÀY CÀNG TRỞ NÊN BỨC XÚC	n ê n | v iệ c | ph á | r ừ ng | đ ố t | th a n | ng ày | c à ng | tr ở | n ê n | b ứ c | x ú c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R036.wav	Ở ĐỜI PHÀM CÁI GÌ ĐÚNG THỜI CƠ MỚI ĐẠT HIỆU QUẢ	ở | đ ời | ph à m | c ái | gì | đ ú ng | th ời | c ơ | m ới | đ ạ t | h iệu | qu ả
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R037.wav	CÒN CÓ TÁC DỤNG	c ò n | c ó | t á c | d ụ ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R038.wav	DẤU HIỆU DUY NHẤT ĐỂ NHẬN RA KHO LÚA VĨNH THÀNH	d ấu | h iệu | d uy | nh ấ t | đ ể | nh ậ n | r a | kh o | l úa | v ĩ nh | th à nh
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R039.wav	NHƯNG RỒI CŨNG KHỔ SỞ ĐẾN DƯỜNG NÀO	nh ư ng | r ồi | c ũ ng | kh ổ | s ở | đ ế n | d ườ ng | n ào
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R040.wav	GIÁ CẢ THUỘC DẠNG VÔ CÙNG LÊN BỔNG XUỐNG TRẦM TẸP NHẸP	gi á | c ả | th uộ c | d ạ ng | v ô | c ù ng | l ê n | b ổ ng | x uố ng | tr ầ m | t ẹ p | nh ẹ p
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R041.wav	NỮ THẦN TỰ DO VỚI BÀN TAY CẦM ĐUỐC	n ữ | th ầ n | t ự | d o | v ới | b à n | t ay | c ầ m | đ uố c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R042.wav	NHỮNG CON SÂU TRÚNG THUỐC RƠI XUỐNG GIÃY GIỤA	nh ữ ng | c o n | s âu | tr ú ng | th uố c | r ơi | x uố ng | gi ãy | gi ụa
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R043.wav	VỪA ĐI VỪA CA NGHÊU NGAO	v ừa | đ i | v ừa | c a | ngh êu | ng ao
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R044.wav	DƯỚI ĐÁY BIỂN	d ưới | đ áy | b iể n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R045.wav	NHỮNG SỢI BÚN ĐƯỢC CUỘN THÀNH DÂY CHÃO 	nh ữ ng | s ợi | b ú n | đ ượ c | c uộ n | th à nh | d ây | ch ão
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R046.wav	KHOANH TRÒN TRÊN TẤM LÁ CHUỐI	kh oa nh | tr ò n | tr ê n | t ấ m | l á | ch uối
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R047.wav	RƠI VÀO CẢNH ĐÌU HIU BỞI DU KHÁCH THƯA THỚT	r ơi | v ào | c ả nh | đ ìu | h iu | b ởi | d u | kh á ch | th ưa | th ớ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R048.wav	SAU ĐÓ NHỮNG NGƯỜI NÀY ĐƯỢC TRẮC NGHIỆM KHẢ NĂNG GHI NHỚ	s au | đ ó | nh ữ ng | ng ười | n ày | đ ượ c | tr ắ c | ngh iệ m | kh ả | n ă ng | gh i | nh ớ
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R049.wav	MUỐN SÀNH ĐIỆU NGUYÊN CON	m uố n | s à nh | đ iệu | ng uyê n | c o n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R050.wav	VỚI NHỮNG TRÀNG PHÁO TAY VÀ TIẾNG TRẦM TRỒ TÁN THƯỞNG KHÔNG NGỚT	v ới | nh ữ ng | tr à ng | ph áo | t ay | v à | t iế ng | tr ầ m | tr ồ | t á n | th ưở ng | kh ô ng | ng ớ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R051.wav	HI VỌNG Ở LẦN SINH NHẬT SAU	h i | v ọ ng | ở | l ầ n | s i nh | nh ậ t | s au
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R052.wav	THEO LUẬT NHÂN QUẢ MÀ GẦN ĐÂY KHOA HỌC ĐÃ CHỨNG MINH ĐƯỢC	th eo | l uậ t | nh â n | qu ả | m à | g ầ n | đ ây | kh oa | h ọ c | đ ã | ch ứ ng | m i nh | đ ượ c
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R053.wav	ÔNG LƯỚT NHẸ NGÓN TAY GẦY GUỘC TRÊN NHỮNG CON CHỮ	ô ng | l ướ t | nh ẹ | ng ó n | t ay | g ầy | g uộ c | tr ê n | nh ữ ng | c o n | ch ữ
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R054.wav	PHẢI DỪNG MÁY TÀU VÀ LẶN XUỐNG BIỂN DÙNG DAO MÀ CẮT	ph ải | d ừ ng | m áy | t àu | v à | l ặ n | x uố ng | b iể n | d ù ng | d ao | m à | c ắ t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R055.wav	VÀ MỘT NHÓM NGƯỜI ĐANG HÍ HÚI QUAY PHIM	v à | m ộ t | nh ó m | ng ười | đ a ng | h í | h úi | qu ay | ph i m
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R056.wav	HAI BÀN CHÂN TÍ XÍU KIA MỚI ĐƯA ĐƯỢC CÁC EM VỀ TỚI NHÀ	h ai | b à n | ch â n | t í | x íu | k ia | m ới | đ ưa | đ ượ c | c á c | e m | v ề | t ới | nh à
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R057.wav	CHẢY NHÃO DƯỚI NẮNG	ch ảy | nh ão | d ưới | n ắ ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R058.wav	TÔI XIN PHÉP RA NGOÀI VỊ GIÁM THỊ TRẺ XẴNG GIỌNG	t ôi | x i n | ph é p | r a | ng oài | v ị | gi á m | th ị | tr ẻ | x ẵ ng | gi ọ ng
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R059.wav	NHƯNG THỰC RA CÓ THỂ KHÔNG PHẢI LÀ NHƯ VẬY	nh ư ng | th ự c | r a | c ó | th ể | kh ô ng | ph ải | l à | nh ư | v ậy
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R060.wav	DÁC DÁO DÁC TÌM GIÚP VIỆC SAU TẾT	d á c | d áo | d á c | t ì m | gi ú p | v iệ c | s au | t ế t
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R061.wav	NÊN ĐẶT BÚT KÝ HỢP ĐỒNG CHO THUÊ VỚI GIÁ BÈO	n ê n | đ ặ t | b ú t | k ý | h ợ p | đ ồ ng | ch o | th uê | v ới | gi á | b èo
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R062.wav	TÔI KHÔNG SỢ CON ĐƯỜNG DẰNG DẶC TỪ THỊ THÀNH	t ôi | kh ô ng | s ợ | c o n | đ ườ ng | d ằ ng | d ặ c | t ừ | th ị | th à nh
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R063.wav	MỘT NGƯỜI GÁNH NƯỚC DƯỚI KHE SUỐI LÊN	m ộ t | ng ười | g á nh | n ướ c | d ưới | kh e | s uối | l ê n
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R064.wav	SÀNG SẢY THÓC NGAY NGÕ GẠCH	s à ng | s ảy | th ó c | ng ay | ng õ | g ạ ch
/home/alan/datasets/vivos/train/waves/VIVOSSPK01/VIVOSSPK01_R065.wav	NGAY CẢ NỀN SẢN XUẤT HIỆN ĐẠI NHƯ MỸ	ng ay | c ả | n ề n | s ả n | x uấ t | h iệ n | đ ại | nh ư | m ỹ
